Municipios,Agropecuaria,Industria,Adm_pub,T_ex_adm_pub ,Total,Impostos,PIB,PIBpc
Caieiras,1801,1207824,376675,1464205,3050504,505809,3556312,33948
Caiuá,21013,2990,28169,20015,72187,3424,75611,14201
Cajamar,378,2092852,396705,10499318,12989253,3980858,16970111,197667
Cajati,185772,565118,120892,392839,1264622,187854,1452475,50868
Cajobi,25519,7724,42094,72557,147894,8072,155966,15248
Cajuru,64653,112578,100809,233266,511305,60860,572165,23145
Campina do Monte Alegre,19009,12689,28708,43244,103650,5001,108651,19068
Campinas,95478,9362866,4599178,36597970,50655492,10741771,61397263,50451
Campo Limpo Paulista,6303,613185,311231,910395,1841113,269935,2111048,22811
Campos do Jordão,3741,122893,218073,828233,1172940,74936,1247875,24080
Campos Novos Paulista,54291,8838,24305,48460,135894,5885,141778,26675
Cananéia,29644,77893,60439,122563,290539,10118,300657,21118
Canas,2500,15298,24489,51622,93909,10670,104580,26364
Cândido Mota,90112,186524,118194,619492,1014323,152151,1166474,33541
Cândido Rodrigues,32329,10997,15551,35676,94554,5547,100101,43064
Canitar,6743,89774,24275,50463,171255,17413,188668,35350
Capão Bonito,146910,89200,187990,431603,855703,50760,906463,18130
Capela do Alto,28094,25600,82430,119490,255613,16858,272471,14203
Capivari,52607,676713,240324,816539,1786184,273520,2059704,36112
Caraguatatuba,13190,453272,597274,2034427,3098163,227757,3325920,25886
Carapicuíba,228,800616,1103519,3341592,5245955,499356,5745311,14146
Cardoso,60269,14163,52461,118742,245636,9903,255539,22105
Casa Branca,177325,63988,127987,398487,767788,63380,831168,28013
Cássia dos Coqueiros,98519,5884,16795,26285,147483,1433,148915,55747
Castilho,63838,299977,105135,320046,788997,75947,864944,54566
Catanduva,45096,796145,503665,2480016,3824922,370299,4195221,33915
Catiguá,18600,6534,31893,53143,110170,6723,116893,15870
Cedral,27529,81152,42948,119585,271214,41211,312425,37678
Cerqueira César,66267,168655,88197,238631,561750,43437,605187,39622
Cerquilho,52010,592816,187770,749666,1582261,250965,1833225,39425
Cesário Lange,32130,74964,73050,213731,393875,38379,432254,24605
Charqueada,20487,96992,62527,142036,322042,31864,353905,21654
Chavantes,21980,13095,51832,104572,191479,15977,207456,17445
Clementina,16458,63115,33666,87931,201170,18639,219809,32801
Colina,68041,399240,88474,428167,983922,123971,1107893,54266
Colômbia,124284,68459,39809,77120,309672,20374,330046,62743
Conchal,44992,177019,117899,289091,629002,63284,692286,24351
Conchas,60644,29104,73713,168097,331558,20834,352392,19523
Cordeirópolis,47987,787162,144639,1401246,2381034,441188,2822222,110703
Coroados,40364,29322,24976,58999,153661,11843,165504,28223
Coronel Macedo,23441,7098,22467,21206,74211,2660,76871,16644
Corumbataí,26288,11200,23729,146736,207953,40609,248561,52297
Cosmópolis,22692,479472,263534,657956,1423654,167437,1591091,22457
Cosmorama,71807,96291,34753,95062,297913,37983,335896,38185
Cotia,17895,2763445,994033,6102205,9877578,2656991,12534569,48930
Cravinhos,49941,296184,141503,542185,1029813,165915,1195729,30701
Cristais Paulista,62201,13580,35487,75173,186441,6731,193173,24104
Cruzália,18702,3007,13916,57495,93119,11415,104534,43198
Cruzeiro,6886,740691,304007,1074674,2126258,309561,2435818,26649
Cubatão,912,6294750,799377,4250253,11345292,1837947,13183239,91909
Cunha,21926,16685,83737,126865,249213,9837,259050,11285
Descalvado,101919,461034,138345,653707,1355004,231424,1586428,50400
Diadema,775,4023650,1613713,6417411,12055550,2616422,14671971,34189
Dirce Reis,6281,18392,12447,15222,52341,5049,57391,38204
Divinolândia,47715,13154,43612,163259,267740,11797,279537,27350
Dobrada,21748,13711,33438,37624,106521,8880,115401,13864
Dois Córregos,87163,110361,103305,287836,588664,59223,647887,26170
Dolcinópolis,14942,2482,11791,15794,45009,1282,46291,21977
Dourado,19105,127731,37898,297932,482666,144514,627180,73135
Dracena,41394,110520,170313,783681,1105908,93783,1199691,26279
Duartina,13654,30393,50711,129888,224646,12633,237279,21023
Dumont,19013,58083,37773,89743,204612,24379,228991,25935
Echaporã,38415,7930,26899,47806,121050,4392,125442,21121
Eldorado,149348,15867,62476,84890,312581,8561,321142,24026
Elias Fausto,68601,249569,74301,217207,609678,97027,706704,39837
Elisiário,12630,5327,18343,24391,60691,3046,63737,20002
Embaúba,13645,5846,14899,16245,50635,1528,52163,22841
Embu das Artes,273,1277283,951080,8303325,10531962,2716231,13248193,44457
Embu-Guaçu,1874,221285,250464,497660,971282,150611,1121893,15311
Emilianópolis,17638,5184,18192,18947,59962,1786,61747,20420
Engenheiro Coelho,24357,177618,83616,307300,592891,70423,663314,30158
Espírito Santo do Pinhal,69773,353238,162422,713468,1298902,134331,1433233,31300
Espírito Santo do Turvo,21128,4408,22839,25513,73889,4803,78692,15734
Estiva Gerbi,31896,125048,49064,103122,309130,25505,334635,29424
Estrela do Norte,14787,2985,17205,14034,49011,1579,50590,24405
Estrela d'Oeste,40896,266200,36249,217701,561046,65067,626113,106950
Euclides da Cunha Paulista,65706,8112,38369,42813,155000,4118,159118,11857
Fartura,57388,40466,63864,189013,350731,19897,370628,24470
Fernando Prestes,72039,16029,25995,67212,181275,10133,191408,35989
Fernandópolis,86241,258578,263475,1241637,1849931,156173,2006104,29030
Fernão,21685,2509,11986,12436,48617,1413,50029,29643
Ferraz de Vasconcelos,1756,804440,614844,1407903,2828943,308997,3137940,15735
Flora Rica,13897,1781,11835,9754,37267,702,37968,24425
Floreal,20077,4660,16930,20144,61811,2168,63979,20966
Flórida Paulista,35890,29375,54131,79302,198699,7934,206634,16012
Florínia,30131,4697,17443,69294,121565,14527,136091,43633
Franca,83748,1747214,1213356,5930258,8974576,1018406,9992981,27680
Francisco Morato,413,110724,557731,773472,1442340,74905,1517245,8594
Franco da Rocha,2815,839826,503440,1364521,2710601,284715,2995316,19748
Gabriel Monteiro,15633,17022,15276,23277,71207,2911,74118,26197
Gália,31855,10003,27966,66311,136135,7039,143175,20902
Garça,93152,178159,167665,651272,1090248,102168,1192416,25814
Gastão Vidigal,19893,4972,20710,27671,73247,3272,76519,14880
Gavião Peixoto,27099,585111,29191,146554,787956,99146,887102,185740
General Salgado,35468,14236,50691,132972,233367,15136,248503,24431
Getulina,60755,7904,44415,65988,179061,6094,185155,18014
Glicério,20569,17529,24331,34459,96888,4617,101506,20490
Guaiçara,31597,29450,46247,74539,181833,14389,196222,16287
Guaimbê,17318,2557,23116,29579,72569,3031,75600,13467
Guaíra,205734,1483461,191960,1019749,2900905,348619,3249524,84416
Guapiaçu,54244,150449,79638,215175,499507,49925,549431,27403
Guapiara,118839,35328,68042,92636,314846,11548,326394,17857
Guará,52250,72580,88750,202516,416096,23485,439581,20895
Guaraçaí,112246,12389,39158,97522,261315,12548,273862,27317
Guaraci,95617,54376,54076,96881,300950,28177,329127,35957
Guarani d'Oeste,6068,3061,12534,12600,34264,1283,35546,18063
Guarantã,60981,20962,29104,54670,165718,8458,174176,26498
Guararapes,163326,142848,127907,413041,847123,62832,909954,34781
Guararema,27941,251839,127198,769533,1176511,237071,1413582,48888
Guaratinguetá,26047,1762715,455132,2447495,4691389,980796,5672184,43267
Guareí,43940,40222,64221,62502,210885,11897,222782,15426
Guariba,46014,202515,154305,420487,823320,76486,899806,22562
Guarujá,34610,1244106,1449686,4764871,7493272,1105736,8599009,27027
